Sl.No,State_Name,Crop_Year,Area(m^2),X1,X2,X3,X4,Yield (kg)
366,Karnataka,2008,5503,4223,4449,974.2,798.1,4077.72
367,Karnataka,2009,5039,4077.72,4223,647.2,974.2,3877.51
368,Karnataka,2010,4927,3877.51,4077.72,1166.7,647.2,4816
369,Karnataka,1999,365,541,635,634.118,719.923,506
370,Karnataka,2000,341,506,541,708.708,634.118,529
371,Karnataka,2001,4,529,506,559.484,708.708,6
372,Karnataka,2002,15,6,529,533.939,559.484,16
373,Karnataka,2005,77,47.11,31,637.2,532,137
374,Karnataka,2007,20,73,137,626,563.7,45
375,Karnataka,2009,27,37.05,45,965.3,550.8,76.95
376,Karnataka,2010,71,76.95,37.05,632.9,965.3,228
377,Karnataka,2005,71306,183097.74,166588,882.4,571.4,225040
378,Karnataka,2006,70785,225040,183097.74,579.5,882.4,237700
379,Karnataka,2008,70956,67328,237700,658.6,729.7,235254.62
380,Karnataka,2009,75176,235254.62,67328,1015.4,658.6,255673.58
381,Karnataka,2010,76270,255673.58,235254.62,1044.3,1015.4,271152
382,Karnataka,1999,39458,33695,103406,1958.884,2216.913,37985
383,Karnataka,2000,38619,37985,33695,2029.734,1958.884,53225
384,Karnataka,2001,38948,53225,37985,1329.153,2029.734,8323
385,Karnataka,2002,38239,8323,53225,1623.548,1329.153,7557
386,Karnataka,2005,22611,15484.88,6476,973.7,648,39091
387,Karnataka,2006,24429,39091,15484.88,697.9,973.7,32376
388,Karnataka,2007,25693,32376,39091,860.3,697.9,44801
389,Karnataka,2008,32699,44801,32376,773.6,860.3,27647
390,Karnataka,2010,27881,30669.81,27647,879.3,890.7,33658
391,Karnataka,2001,705,2118,1882,836.128,1243.124,1411
392,Karnataka,2006,1495,8212,1399.76,493.3,633.2,4122
393,Karnataka,2007,1473,4122,8212,790,493.3,3705
394,Karnataka,2008,1100,3705,4122,733.8,790,1755.6
395,Karnataka,2010,865,819.89,1755.6,720,961.1,1914
396,Karnataka,1999,10705,17439,12179,568.029,757.61,16115
397,Karnataka,2000,16485,16115,17439,733.168,568.029,25012
398,Karnataka,2001,18722,25012,16115,601.898,733.168,32644
399,Karnataka,2002,25098,32644,25012,525.402,601.898,48090
400,Karnataka,2005,49114,92317.96,75482,911.3,652.1,129091
401,Karnataka,2007,52131,107324,129091,764.2,527.9,141389
402,Karnataka,2009,39593,122202.53,141389,906.6,744,91024.31
403,Karnataka,2000,54985,89761,78129,1873.395,1761.816,112869
404,Karnataka,2001,56369,112869,89761,1244.919,1873.395,27476
405,Karnataka,2002,55222,27476,112869,1473.343,1244.919,23928
406,Karnataka,2005,26796,43973.22,24198,935,707.4,55400
407,Karnataka,2006,36385,55400,43973.22,707.3,935,68978
408,Karnataka,2007,37740,68978,55400,919.9,707.3,92017
409,Karnataka,2009,43936,56650,92017,924.3,732.4,47582.69
410,Karnataka,1999,90604,225260,287526,509.043,638.478,278618
411,Karnataka,2000,90009,278618,225260,625.811,509.043,294349
412,Karnataka,2001,77825,294349,278618,482.044,625.811,245184
413,Karnataka,2002,81970,245184,294349,450.113,482.044,271989
414,Karnataka,2005,100632,240662.61,172865,717.2,532.1,273862
415,Karnataka,2007,96323,285068,273862,707.8,457.1,286365
416,Karnataka,2009,96230,334587.9,286365,1245.9,583.5,252315.06
417,Madhya Pradesh,2000,246559,333339,230000,1029.567,1320.139,209385
418,Madhya Pradesh,2002,247502,358158,209385,1161.31,1293.238,207801
419,Madhya Pradesh,2005,248696,246491,370435,1937.9,991.3,365281
420,Madhya Pradesh,2006,248652,365281,246491,1549.1,1937.9,299342
421,Madhya Pradesh,2010,247865,275043,354236,1343.9,1097.2,353009
422,Madhya Pradesh,2001,2596,874,1529,631.839,604.616,1092
423,Madhya Pradesh,2008,2328,862,869,510,733.6,807
424,Madhya Pradesh,2010,1476,807,862,868,586.7,1090
